timestamp_ist,signal,symbol,cmp,pcr,score,maxPain,mpGap
2026-07-23 12:44:16,SELL-CORE,DIVISLAB,7277.0,0.55,0,7400,-1.66
2026-07-23 12:44:17,BUY-CORE,ICICIGI,1613.4,0.59,57,1660,-2.81
2026-07-23 12:44:18,BUY-CORE,MAXHEALTH,1081.6,0.85,53,1100,-1.67
2026-07-23 12:44:19,BUY-CORE,SBILIFE,1830.5,0.62,57,1860,-1.59
2026-07-23 12:44:20,SELL-CORE,LICI,421.35,1.23,47,425,-0.86
2026-07-23 12:44:20,COIL,LICI,421.35,1.23,47,425,-0.86
2026-07-23 12:44:21,SELL-CORE,CROMPTON,253.0,0.86,27,260,-2.69
2026-07-23 12:44:22,BUY-CORE,SIEMENS,3662.9,0.65,44,3700,-1.0
2026-07-23 12:44:23,SELL-CORE,BANDHANBNK,167.98,0.89,27,177.5,-5.36
2026-07-23 12:44:24,BUY-CORE,OIL,456.7,0.39,57,470,-2.83
2026-07-23 12:44:25,SELL,LODHA,1144.15,0.82,0,1140,0.36
2026-07-23 12:44:25,SELL-CORE,LODHA,1144.15,0.82,0,1140,0.36
2026-07-23 12:44:27,SELL,PRESTIGE,1647.7,0.68,22,1680,-1.92
2026-07-23 12:44:27,SELL-CORE,PRESTIGE,1647.7,0.68,22,1680,-1.92
2026-07-23 12:44:28,SELL-CORE,HINDPETRO,379.0,1.2,47,385,-1.56
2026-07-23 12:44:29,BUY-CORE,UNOMINDA,1139.3,0.57,57,1180,-3.45
2026-07-23 12:44:30,SELL,EXIDEIND,446.1,0.38,22,452.5,-1.41
2026-07-23 12:44:30,SELL-CORE,EXIDEIND,446.1,0.38,22,452.5,-1.41
2026-07-23 12:44:31,BUY-CORE,TATACONSUM,1103.8,0.9,53,1100,0.35
2026-07-23 12:44:32,BUY-CORE,GLENMARK,2215.4,0.69,44,2260,-1.97
2026-07-23 12:44:33,SELL,GODREJPROP,2047.5,0.83,0,2060,-0.61
2026-07-23 12:44:34,SELL-CORE,GODREJPROP,2047.5,0.83,0,2060,-0.61
2026-07-23 12:44:34,SELL,KEI,4908.0,0.52,22,5050,-2.81
2026-07-23 12:44:35,SELL-CORE,KEI,4908.0,0.52,22,5050,-2.81
2026-07-23 12:44:36,SELL-CORE,KFINTECH,874.45,0.93,27,880,-0.63
2026-07-23 12:44:37,SELL-CORE,TATAPOWER,376.4,1.06,47,380,-0.95
2026-07-23 12:44:38,SELL,BIOCON,431.75,0.8,0,435,-0.75
2026-07-23 12:44:38,SELL-CORE,BIOCON,431.75,0.8,0,435,-0.75
2026-07-23 12:44:39,SELL,PNBHOUSING,1069.7,0.72,27,1100,-2.75
2026-07-23 12:44:40,SELL-CORE,PNBHOUSING,1069.7,0.72,27,1100,-2.75
2026-07-23 12:44:41,SELL,LTM,3955.4,0.82,0,4000,-1.11
2026-07-23 12:44:41,SELL-CORE,LTM,3955.4,0.82,0,4000,-1.11
2026-07-23 12:44:42,SELL-CORE,ZYDUSLIFE,1117.1,0.87,27,1140,-2.01
2026-07-23 12:44:43,BUY-CORE,BOSCHLTD,42245.0,0.47,57,43000,-1.76
2026-07-23 12:44:44,SELL-CORE,DRREDDY,1156.6,1.54,56,1150,0.57
2026-07-23 12:44:45,BUY-CORE,SONACOMS,730.0,0.72,53,730,0.0
2026-07-23 12:44:46,BUY-CORE,PGEL,579.85,0.72,53,600,-3.36
2026-07-23 12:44:46,SELL,JSWENERGY,556.5,0.8,0,565,-1.5
2026-07-23 12:44:47,SELL-CORE,JSWENERGY,556.5,0.8,0,565,-1.5
2026-07-23 12:44:48,BUY-CORE,HAVELLS,1214.0,0.64,44,1220,-0.49
2026-07-23 12:44:49,SELL,NAM-INDIA,1103.2,0.78,27,1160,-4.9
2026-07-23 12:44:49,SELL-CORE,NAM-INDIA,1103.2,0.78,27,1160,-4.9
2026-07-23 12:44:50,BUY-CORE,CONCOR,482.75,0.83,73,490,-1.48
2026-07-23 12:44:51,BUY-CORE,PHOENIXLTD,2045.0,0.92,53,2080,-1.68
2026-07-23 12:44:52,SELL,BRITANNIA,5448.5,0.57,22,5500,-0.94
2026-07-23 12:44:52,SELL-CORE,BRITANNIA,5448.5,0.57,22,5500,-0.94
2026-07-23 12:44:53,SELL-CORE,MPHASIS,2230.9,1.06,27,2238,-0.32
2026-07-23 12:44:54,BUY-CORE,ICICIPRULI,501.7,0.92,73,505,-0.65
2026-07-23 12:44:55,SELL,DABUR,422.9,0.69,0,440,-3.89
2026-07-23 12:44:56,SELL-CORE,DABUR,422.9,0.69,0,440,-3.89
2026-07-23 12:44:57,SELL-CORE,PETRONET,268.65,1.47,43,270,-0.5
2026-07-23 12:44:58,SELL,CAMS,760.85,0.59,0,800,-4.89
2026-07-23 12:44:58,SELL-CORE,CAMS,760.85,0.59,0,800,-4.89
2026-07-23 12:44:59,SELL-CORE,BLUESTARCO,1643.8,1.09,27,1640,0.23
2026-07-23 12:45:00,SELL-CORE,INDHOTEL,720.2,0.89,0,730,-1.34
2026-07-23 12:45:02,SELL,BHARATFORG,2166.4,0.74,0,2200,-1.53
2026-07-23 12:45:02,SELL-CORE,BHARATFORG,2166.4,0.74,0,2200,-1.53
2026-07-23 12:45:03,BUY-CORE,MANAPPURAM,354.0,0.66,44,350,1.14
2026-07-23 12:45:04,SELL-CORE,PIDILITIND,1566.0,1.0,27,1580,-0.89
2026-07-23 12:45:05,BUY-CORE,BAJAJHLDNG,10595.0,0.5,57,11000,-3.68
2026-07-23 12:45:06,BUY-CORE,PAGEIND,40250.0,0.71,73,40250,0.0
2026-07-23 12:45:07,SELL,RADICO,4065.0,0.67,0,4100,-0.85
2026-07-23 12:45:08,SELL-CORE,RADICO,4065.0,0.67,0,4100,-0.85
2026-07-23 12:45:08,SELL,IEX,122.51,0.62,0,123,-0.4
2026-07-23 12:45:09,SELL-CORE,IEX,122.51,0.62,0,123,-0.4
2026-07-23 12:45:10,BUY-CORE,KPITTECH,551.9,0.41,36,590,-6.46
2026-07-23 12:45:10,SELL,KPITTECH,551.9,0.41,36,590,-6.46
2026-07-23 12:45:11,SELL-CORE,KPITTECH,551.9,0.41,36,590,-6.46
2026-07-23 12:45:12,BUY-CORE,GODREJCP,1069.0,0.69,36,1100,-2.82
2026-07-23 12:45:12,SELL,GODREJCP,1069.0,0.69,36,1100,-2.82
2026-07-23 12:45:13,SELL-CORE,GODREJCP,1069.0,0.69,36,1100,-2.82
2026-07-23 12:45:14,BUY-CORE,IREDA,119.94,0.9,53,122,-1.69
2026-07-23 12:45:14,BUY-CORE,ASTRAL,1417.8,0.61,44,1440,-1.54
2026-07-23 12:45:15,SELL-CORE,TIINDIA,2870.0,1.46,56,2900,-1.03
2026-07-23 12:45:16,COIL,TIINDIA,2870.0,1.46,56,2900,-1.03
2026-07-23 12:45:17,SELL,GODFRYPHLP,2054.6,0.78,0,2150,-4.44
2026-07-23 12:45:17,SELL-CORE,GODFRYPHLP,2054.6,0.78,0,2150,-4.44
2026-07-23 12:45:18,SELL-CORE,JUBLFOOD,416.55,1.46,56,420,-0.82
2026-07-23 12:45:19,COIL,JUBLFOOD,416.55,1.46,56,420,-0.82
2026-07-23 12:45:20,BUY-CORE,SHREECEM,26935.0,0.61,57,27000,-0.24
2026-07-23 12:45:20,BUY-CORE,NUVAMA,1938.0,0.56,57,1940,-0.1
2026-07-23 12:45:22,SELL,SUPREMEIND,3421.6,0.71,27,3500,-2.24
2026-07-23 12:45:22,SELL-CORE,SUPREMEIND,3421.6,0.71,27,3500,-2.24
2026-07-23 12:45:23,BUY-CORE,DALBHARAT,1869.8,0.56,44,1880,-0.54
2026-07-23 12:45:24,SELL-CORE,SRF,2668.5,1.61,43,2700,-1.17
2026-07-23 12:45:25,SELL-CORE,OBEROIRLTY,1823.4,1.62,56,1800,1.3
2026-07-23 12:45:26,BUY-CORE,MANKIND,2555.8,0.61,44,2600,-1.7
2026-07-23 12:45:27,SELL,COLPAL,2095.0,0.72,27,2100,-0.24
2026-07-23 12:45:27,SELL-CORE,COLPAL,2095.0,0.72,27,2100,-0.24
2026-07-23 12:45:28,BUY-CORE,UNITDSPR,1413.1,0.62,44,1420,-0.49
2026-07-23 12:45:29,BUY-CORE,PIIND,2712.6,0.54,44,2760,-1.72
2026-07-23 12:50:59,SELL-CORE,CHOLAFIN,1712.9,0.99,0,1780,-3.77
2026-07-23 12:51:07,SELL,360ONE,1090.2,0.63,22,1140,-4.37
2026-07-23 12:51:08,SELL-CORE,360ONE,1090.2,0.63,22,1140,-4.37
2026-07-23 12:51:18,SELL,POWERGRID,288.4,0.46,22,292.5,-1.4
2026-07-23 12:51:18,SELL-CORE,POWERGRID,288.4,0.46,22,292.5,-1.4
2026-07-23 12:51:37,SELL-CORE,JINDALSTEL,1042.3,0.89,27,1050,-0.73
2026-07-23 12:51:43,SELL,ZYDUSLIFE,1117.5,0.85,27,1140,-1.97
2026-07-23 12:51:48,SELL-CORE,PHOENIXLTD,2037.8,0.92,42,2080,-2.03
2026-07-23 12:55:43,SELL,HINDZINC,533.0,0.76,27,550,-3.09
2026-07-23 12:55:43,SELL-CORE,HINDZINC,533.0,0.76,27,550,-3.09
2026-07-23 12:55:49,SELL-CORE,ITC,280.7,0.78,42,285,-1.51
2026-07-23 12:56:04,COIL,INDIANB,826.95,1.06,47,831.75,-0.58
2026-07-23 12:56:35,COIL,LICI,422.2,1.23,47,425,-0.66
2026-07-23 12:56:49,SELL-CORE,CONCOR,481.8,0.89,42,485,-0.66
2026-07-23 12:56:53,SELL-CORE,IRFC,87.18,1.02,47,90,-3.13
2026-07-23 12:56:57,SELL-CORE,TATAELXSI,3391.2,1.02,47,3500,-3.11
2026-07-23 13:01:05,SELL,ADANIENT,3037.0,0.84,0,3080,-1.4
2026-07-23 13:01:13,SELL-CORE,CANBK,125.51,1.01,27,125,0.41
2026-07-23 13:01:26,BUY-CORE,TRENT,2893.4,0.84,53,2900,-0.23
2026-07-23 13:01:28,SELL,NTPC,350.4,0.44,0,355,-1.3
2026-07-23 13:01:28,SELL-CORE,NTPC,350.4,0.44,0,355,-1.3
2026-07-23 13:01:45,SELL,HAL,4555.6,0.54,22,4600,-0.97
2026-07-23 13:01:45,SELL-CORE,HAL,4555.6,0.54,22,4600,-0.97
2026-07-23 13:02:15,SELL,SONACOMS,726.4,0.73,27,730,-0.49
2026-07-23 13:02:16,SELL-CORE,SONACOMS,726.4,0.73,27,730,-0.49
2026-07-23 13:02:18,SELL,HAVELLS,1208.6,0.62,36,1220,-0.93
2026-07-23 13:02:19,SELL-CORE,HAVELLS,1208.6,0.62,36,1220,-0.93
2026-07-23 13:05:26,SELL,NIFTY,23836.25,0.85,0,23950,-0.47
2026-07-23 13:05:37,BUY-CORE,HINDZINC,532.65,0.76,42,550,-3.15
2026-07-23 13:05:40,SELL,HINDALCO,950.85,0.52,22,980,-2.97
2026-07-23 13:05:41,SELL-CORE,HINDALCO,950.85,0.52,22,980,-2.97
2026-07-23 13:05:43,SELL,ITC,280.8,0.77,27,285,-1.47
2026-07-23 13:05:49,SELL,RECLTD,357.2,0.61,0,370,-3.46
